Date & Time,sku,name,brand,Average Rating,Rating Count,Sponsered,price,Sales Price,Express,Rank,Link
2024-12-29 18:05:24,Z68802DAE7D5FCFB63AB8Z,mat floor high qual,joyzzz Yoga fitness,NA,NA,N,120,109.35,Y,NA,https://www.noon.com/uae-en/yoga-fitness-mat-floor-high-quality-environmentally-friendly-tpe-waterproof-gym-home-mat-sports-mat-for-sports/Z68802DAE7D5FCFB63AB8Z/p/?o=z68802dae7d5fcfb63ab8z-1
2024-12-29 18:05:25,Z2ABB715602A9DC1832D9Z,for Women and M,BOLDFIT Yoga mat,NA,NA,N,76,76,Y,NA,https://www.noon.com/uae-en/yoga-mat-for-women-and-men-with-cover-bag-eva-material-6mm-extra-thick-exercise-mat-for-workout-yoga-fitness-pilates-and-meditation-anti-tear-anti-slip-for-home-gym-use-blue-large/Z2ABB715602A9DC1832D9Z/p/?o=z2abb715602a9dc1832d9z-1
2024-12-29 18:05:28,Z880BC1691FBB2A8BFF1FZ,Yoga Mat Anti-Slip ,MahMir MahMir,NA,NA,N,69.95,44.95,Y,NA,https://www.noon.com/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-dark-green-light-green/Z880BC1691FBB2A8BFF1FZ/p/?o=z880bc1691fbb2a8bff1fz-1
2024-12-29 18:05:28,Z538D19FE4FEBB09B4BC8Z,"Tote Bag, Yoga Ca",GROIC Yoga Mat,NA,NA,N,200,62.35,Y,NA,https://www.noon.com/uae-en/yoga-mat-tote-bag-yoga-canvas-workout-bag-with-yoga-mat-carrier-binding-rope-canvas-yoga-bag-gym-bag-with-yoga-mat-holder/Z538D19FE4FEBB09B4BC8Z/p/?o=z538d19fe4febb09b4bc8z-1
2024-12-29 18:05:30,N38378290A,Folding Travel Fitn,Generic Non Slip,NA,NA,N,135,135,N,NA,https://www.noon.com/uae-en/non-slip-folding-travel-fitness-floor-workout-yoga-mat/N38378290A/p/?o=cf4ad5df63d7d99a
2024-12-29 18:05:31,ZCABA0D20B8B2B76D13B2Z,Pear Ink Non-Slip ,Prickly Pear Prickly,NA,NA,N,240,160,Y,NA,https://www.noon.com/uae-en/prickly-pear-ink-non-slip-suede-top-1mm-travel-yoga-mat-compact-fitness-accessory/ZCABA0D20B8B2B76D13B2Z/p/?o=zcaba0d20b8b2b76d13b2z-1
2024-12-29 18:05:32,Z23067B03F54054219A1CZ,Beginners Kit Lily ,Gaiam Yoga,NA,NA,N,289,158,Y,NA,https://www.noon.com/uae-en/yoga-beginners-kit-lily-shadow/Z23067B03F54054219A1CZ/p/?o=z23067b03f54054219a1cz-1
2024-12-29 18:05:33,Z9CCA1A3DE609EB67B3B1Z,Extra-Wide TPE Yo,MissTiara 80cm,NA,NA,N,75,74.90,Y,NA,https://www.noon.com/uae-en/80cm-extra-wide-tpe-yoga-mat-with-double-sided-anti-slip-design-and-portable-storage-bag-suitable-for-yoga-pilates-exercise-and-fitness-183cm-x-80cm-x-0-8cm/Z9CCA1A3DE609EB67B3B1Z/p/?o=z9cca1a3de609eb67b3b1z-1
2024-12-29 18:05:34,ZB3370DD21C84F419DF5FZ,Pear Breathe Dee,Prickly Pear Prickly,NA,NA,N,240,160,Y,NA,https://www.noon.com/uae-en/prickly-pear-breathe-deep-non-slip-suede-top-1mm-travel-yoga-mat-lightweight-yoga-mat/ZB3370DD21C84F419DF5FZ/p/?o=zb3370dd21c84f419df5fz-1
2024-12-29 18:05:36,ZA9BFB7369713E4E6A4A8Z,Ring Set Yoga Fitn,GROIC 5 Pcs Pilates,NA,NA,N,400,80.45,N,NA,https://www.noon.com/uae-en/5-pcs-pilates-ring-set-yoga-fitness-magic-circle-pilates-equipment-for-home-workouts-fitness-kit-includes-burst-resistant-pilates-mini-ball-highly-elastic-resistance-bands/ZA9BFB7369713E4E6A4A8Z/p/?o=a3cf917d4499993f
2024-12-29 18:05:38,Z1E598CB5A35BDDF0E9C4Z,"Blocks, 2 Pack, 22.",Generic Cork Yoga,NA,NA,N,66.75,65.80,Y,NA,https://www.noon.com/uae-en/cork-yoga-blocks-2-pack-22-8x15-2x7-6cm-high-density-solid-natural-cork-yoga-brick-with-comfortable-edge-to-improve-balance-strength-and-flexibility/Z1E598CB5A35BDDF0E9C4Z/p/?o=z1e598cb5a35bddf0e9c4z-1
2024-12-29 18:05:39,Z15D61B8E79FCD0BC2FDCZ,"Cork Block, High ",Teuuea 2 PCS Yoga,NA,NA,N,99.95,55.95,Y,NA,https://www.noon.com/uae-en/2-pcs-yoga-cork-block-high-density-non-slip-natural-cork-yoga-brick-eco-friendly-supportive-exercise-accessory-stability-balance-for-yoga-pilates-stretching-toning-workouts-22-5-14-7-7-5cm/Z15D61B8E79FCD0BC2FDCZ/p/?o=z15d61b8e79fcd0bc2fdcz-1
2024-12-29 18:05:40,ZF2C108B620504F855241Z,and Strap Set,Arabest Yoga Block,NA,NA,N,29.80,29.80,Y,NA,https://www.noon.com/uae-en/yoga-block-and-strap-set/ZF2C108B620504F855241Z/p/?o=zf2c108b620504f855241z-1
2024-12-29 18:05:42,ZCBE37221BDED873009B5Z,Pear Beige Rollabl,Prickly Pear Prickly,NA,NA,N,415,275,Y,NA,https://www.noon.com/uae-en/prickly-pear-beige-rollable-4mm-non-slip-yoga-mat-with-carry-strap-stretching-tool-premium-exercise-mat/ZCBE37221BDED873009B5Z/p/?o=zcbe37221bded873009b5z-1
2024-12-29 18:05:43,Z9D9F31BA336AF3127579Z,Yoga Wheel Yoga ,MahMir MahMir®,NA,NA,N,49.95,36.95,N,NA,https://www.noon.com/uae-en/mahmir-yoga-wheel-yoga-circles-pilates-professional-waist-shape-gym-workout-yoga-wheel-back-training-tool-f-or-fitness-perfect-for-stretching-and-improving-backbends/Z9D9F31BA336AF3127579Z/p/?o=z9d9f31ba336af3127579z-1
2024-12-29 18:05:45,ZB20455FFC8C4AAB72E0EZ,"Kits,Yoga Circle An",RIOXS Yoga Pilates,NA,NA,N,90,59,Y,NA,https://www.noon.com/uae-en/yoga-pilates-kits-yoga-circle-and-yoga-blocks-sets-32cm-yoga-wheel-with-2-pcs-yoga-foam-blocks-for-waist-back-training-durable-professional-pilates-exercise-tools/ZB20455FFC8C4AAB72E0EZ/p/?o=zb20455ffc8c4aab72e0ez-1
2024-12-29 18:05:51,Z798FC1A11A054EC807C5Z,Longchamp Wome,Longchamp,NA,NA,Y,399.90,179.90,Y,NA,https://www.noon.com/uae-en/longchamp-women-s-mini-makeup-bag-handbag-shoulder-bag-black-classic-strapless/Z798FC1A11A054EC807C5Z/p/?o=z798fc1a11a054ec807c5z-1
2024-12-29 18:05:52,Z418087CAC07977787D7BZ,Splicing Yoga Bloc,Folanry EVA Cork,NA,NA,Y,56.80,46.20,Y,NA,https://www.noon.com/uae-en/eva-cork-splicing-yoga-block-2-pack-22-8x15-2x7-6cm-high-density-double-sided-anti-slip-wear-resistant-yoga-brick-with-comfortable-edge-to-improve-balance-strength-and-flexibility/Z418087CAC07977787D7BZ/p/?o=z418087cac07977787d7bz-1
2024-12-29 18:05:53,ZE5D7520215AA49D4ED49Z,Resistance Loop B,TYCOM Tycom,NA,NA,Y,49,28.60,Y,NA,https://www.noon.com/uae-en/tycom-resistance-loop-bands-resistance-exercise-bands-set-workout-bands-flex-bands-for-home-fitness-stretching-strength-training-physical-therapy-yoga/ZE5D7520215AA49D4ED49Z/p/?o=ze5d7520215aa49d4ed49z-1
